age,sex,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q_Behavior
56,f,2,2,2,3,4,4,4,3,2,3,4,3,2,2,3,3,4,4,4,4,2,3,4,3,4
32,f,4,4,2,2,3,4,4,4,3,2,3,3,4,3,3,2,3,4,4,3,3,3,3,4,2
33,f,3,4,3,2,4,3,4,4,2,3,4,3,3,4,3,2,4,4,4,4,2,2,4,3,4
35,f,2,3,3,4,2,2,4,3,3,4,2,2,2,2,3,4,3,3,3,3,3,4,2,2,2
50,m,2,2,3,2,3,2,3,2,2,2,2,2,2,3,2,3,2,2,3,2,3,2,3,2,2
40,m,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3
52,m,2,2,2,3,3,3,3,3,4,4,3,3,2,2,3,3,3,3,3,3,4,3,3,2,3
48,f,4,4,3,3,3,3,4,4,4,3,4,4,2,2,2,3,3,3,3,3,4,3,4,3,3
37,m,4,2,2,2,4,4,4,4,2,4,4,2,2,2,2,2,4,4,4,4,2,4,4,2,4
38,f,2,2,2,3,3,2,3,4,3,4,2,2,2,2,2,3,2,2,3,3,3,4,2,1,3
33,m,4,4,2,2,4,5,4,4,2,2,4,4,4,4,4,2,4,4,4,4,2,2,4,5,5
