age,sex,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q_Behavior
55,m,3,2,2,3,3,2,4,4,4,4,4,3,2,2,2,3,3,2,4,4,4,4,4,2,3
59,f,3,3,3,2,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3,3
64,f,4,2,2,2,4,4,4,3,2,2,4,4,2,2,2,3,3,2,3,2,3,3,1,1,2
46,f,4,4,3,3,4,4,3,4,3,3,4,3,1,1,4,3,4,3,4,4,3,4,4,3,3
57,f,4,4,4,4,4,4,4,4,3,2,4,4,3,3,3,3,4,3,3,4,2,3,4,4,3
53,f,3,3,4,2,4,3,4,2,3,3,4,2,3,3,3,2,4,4,4,4,3,4,4,2,4
50,f,4,3,2,1,4,4,4,4,1,3,3,3,3,3,2,2,4,4,4,3,2,3,3,3,4
60,f,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,3,3,3,3,3,3,3,3,2
46,f,1,2,2,2,4,3,3,4,4,3,4,4,2,3,2,2,4,4,4,4,3,4,4,4,3
30,f,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2
53,f,4,4,4,4,4,4,4,4,2,3,4,3,3,4,4,4,4,4,4,4,2,3,4,4,3
