age,sex,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q_Behavior
47,f,2,2,2,3,3,4,4,4,3,5,4,2,1,1,1,3,3,4,4,4,3,5,4,2,3
40,f,4,2,3,1,4,5,5,4,2,3,5,4,4,3,3,1,4,4,4,4,2,3,4,4,4
43,f,1,1,1,4,4,4,4,4,4,3,1,3,1,1,1,1,4,4,4,4,2,3,3,3,4
52,f,1,4,1,2,4,2,4,4,2,4,4,2,2,4,2,2,4,2,4,4,3,4,4,2,3
55,f,4,4,3,1,5,4,4,4,2,4,4,2,3,3,3,3,3,3,3,2,2,4,3,3,3
31,f,4,4,4,4,3,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2
48,f,4,4,4,3,4,3,4,3,3,4,4,3,4,4,4,2,4,4,4,4,2,4,4,4,2
59,f,3,4,3,4,3,3,4,4,2,4,3,2,2,2,2,3,3,3,4,4,2,4,4,2,3
55,f,4,4,4,2,4,4,3,3,4,2,4,4,4,4,4,2,4,4,3,4,4,2,4,4,4
40,f,3,3,3,2,4,3,4,4,2,2,4,4,3,3,3,2,4,3,4,4,2,2,4,4,3
46,f,3,4,4,2,4,3,3,4,3,3,3,3,3,4,4,2,3,3,3,4,3,3,4,3,3
