age,sex,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
39,f,4,4,3,2,4,3,4,3,4,2,4,3,4,4,3,2,4,4,4,4,3,4,4,4
54,f,4,4,3,2,4,3,4,4,3,2,4,4,3,3,4,2,3,3,3,4,2,4,3,3
58,f,1,1,1,3,3,2,3,2,3,4,2,1,2,2,2,3,3,2,3,2,3,4,2,2
52,f,4,4,4,2,4,4,4,4,3,3,4,3,4,4,4,2,4,3,4,4,3,3,3,3
57,f,4,5,4,2,2,4,4,5,2,3,4,4,4,5,4,2,2,4,4,4,2,3,4,4
36,f,4,4,4,2,4,3,4,4,2,3,4,4,4,4,4,2,4,4,4,4,2,3,4,4
54,f,3,3,3,2,4,3,4,3,2,3,4,3,3,3,3,2,4,3,3,3,2,3,3,3
25,f,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,3
47,f,1,2,2,5,1,2,1,1,4,5,1,1,1,1,1,5,1,1,1,1,4,1,1,1
48,f,4,2,2,2,4,4,4,3,4,2,4,4,2,2,2,3,2,3,4,3,3,4,3,3
30,f,2,4,2,4,2,2,4,4,2,4,4,4,2,4,2,4,2,2,4,4,2,4,4,4
29,f,2,4,4,3,2,1,2,2,3,2,2,1,2,3,2,4,2,1,2,2,3,2,2,1
45,m,4,4,3,3,5,4,5,5,5,3,5,5,4,4,4,3,5,5,4,5,5,3,5,5
40,f,4,3,3,2,4,4,4,4,2,3,4,3,4,4,3,2,4,3,4,4,2,4,4,3
38,f,3,2,3,2,4,4,4,4,2,4,4,3,4,4,4,3,3,3,4,4,2,3,3,2
31,f,4,3,3,4,2,3,5,5,1,4,5,2,3,3,2,4,2,2,5,5,1,4,5,2
51,f,4,3,2,1,5,5,5,5,3,3,5,5,4,3,3,1,5,5,5,5,3,3,5,5
50,f,4,4,4,2,4,4,4,4,2,2,4,3,4,4,4,2,4,4,4,4,2,3,4,3
38,f,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,3,4,4,4
50,f,3,4,4,3,3,4,4,4,3,3,4,3,3,3,3,2,3,3,4,4,3,4,4,3
55,f,3,2,2,2,4,3,4,5,1,4,5,3,2,1,1,2,4,3,4,5,2,5,5,2
54,f,4,5,4,3,2,3,3,3,3,4,3,2,4,5,4,3,3,3,3,4,3,4,4,2
27,f,2,3,2,2,3,3,3,3,3,3,4,4,2,2,3,2,3,4,3,3,3,4,3,3
51,f,4,4,4,2,4,3,4,4,2,3,4,2,3,3,2,2,4,3,4,4,2,4,2,3
70,f,3,3,3,2,2,4,3,3,3,3,5,3,3,3,3,2,2,3,3,3,3,3,3,3
59,f,4,4,4,2,4,3,4,3,3,3,4,4,4,4,4,2,4,3,4,3,2,3,4,4
35,f,4,3,3,2,4,3,4,4,2,3,3,3,4,3,3,2,4,4,4,4,2,3,4,3
40,f,4,4,4,3,3,3,3,3,4,3,3,2,4,4,4,3,2,3,3,3,4,3,3,3
49,f,3,2,2,2,4,3,4,5,2,2,3,3,2,2,1,2,4,3,4,5,2,2,4,3
63,f,3,3,4,3,2,2,2,2,4,4,3,2,3,3,3,4,2,3,2,2,4,4,2,2
40,f,3,4,4,2,4,3,2,4,3,4,4,2,3,4,4,3,3,4,3,4,3,3,4,3
44,f,2,4,3,2,4,3,4,4,2,3,2,2,4,4,3,2,4,3,4,4,2,3,2,3
22,f,3,3,3,2,4,3,4,4,2,4,3,3,3,3,3,2,5,2,4,4,2,3,3,3
46,f,3,4,4,2,3,3,4,4,2,3,4,3,4,4,4,3,3,3,4,4,3,4,4,3
52,f,2,2,2,3,4,3,4,4,2,3,4,2,3,3,2,2,4,3,4,4,2,3,4,2
45,f,4,4,4,2,4,4,4,3,2,2,4,4,2,2,2,4,2,2,2,2,3,4,2,2
48,f,3,2,2,4,3,3,4,3,2,3,2,2,3,2,2,3,3,3,4,3,2,3,2,2
34,f,4,4,4,4,3,4,4,4,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3
56,f,4,3,4,2,4,3,4,4,2,3,4,4,4,4,4,2,4,4,4,4,2,3,4,4
40,m,2,3,2,2,3,2,4,2,2,2,3,2,2,3,4,3,3,3,4,3,2,3,3,2
50,m,4,4,4,2,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,2,2,4,4
41,m,2,2,2,2,4,4,4,4,2,3,4,4,2,2,2,2,4,4,4,4,2,4,4,3
54,m,2,4,2,2,4,3,4,3,2,4,4,2,2,4,4,2,2,4,4,4,2,4,4,2
57,f,4,2,2,2,4,3,4,4,2,4,4,3,4,2,2,2,4,3,4,4,2,4,4,3
47,m,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
42,m,3,4,4,3,4,3,4,3,2,3,2,2,3,3,2,2,2,3,2,3,2,3,2,2
50,m,2,2,2,2,2,3,4,4,2,4,3,3,2,2,2,2,2,4,4,4,2,4,4,4
40,m,2,5,4,2,2,2,2,2,2,3,3,3,2,4,4,3,2,2,3,2,3,3,2,2
47,m,4,4,3,1,5,4,5,5,4,2,4,4,4,4,2,2,5,4,5,5,4,2,5,4
48,m,4,4,2,3,5,2,4,4,3,3,4,2,3,4,3,3,5,3,4,4,3,4,4,4
48,m,3,3,3,2,3,3,3,3,4,3,4,3,3,3,3,2,3,3,3,3,4,3,4,3
41,m,3,4,3,3,2,3,3,2,3,3,2,2,2,3,3,2,3,3,3,3,3,4,2,2
46,m,2,2,2,3,2,2,2,2,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3
52,f,4,4,4,2,3,3,4,4,2,4,4,2,4,4,4,2,3,3,4,4,2,4,4,3
37,m,4,4,4,2,4,3,4,2,2,3,2,2,4,4,4,2,4,3,3,2,2,3,2,2
45,m,4,4,4,1,5,5,5,4,2,4,4,4,3,2,4,1,5,5,4,4,2,4,4,4
43,m,2,2,2,4,3,2,3,2,4,4,3,2,2,2,2,4,2,2,2,2,4,4,3,2
