age,sex,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
49,f,4,4,3,2,4,4,4,4,2,2,4,4,4,4,4,2,4,4,4,4,2,2,4,3
38,f,3,4,3,2,4,2,3,4,3,3,3,3,4,4,3,3,3,3,3,4,2,3,3,3
48,f,5,5,4,3,3,2,2,2,5,2,2,2,2,2,2,3,3,2,2,2,5,2,2,2
55,f,3,2,2,2,4,3,3,2,4,3,3,3,3,2,2,3,3,2,3,2,4,4,3,2
44,f,5,5,5,4,2,1,2,3,3,4,2,1,5,5,5,4,3,2,3,3,3,4,3,1
39,f,3,3,3,2,4,3,4,3,3,2,4,3,3,3,3,2,4,4,4,4,3,2,4,3
66,f,4,4,4,3,4,3,4,4,3,3,4,3,4,3,3,3,3,3,4,3,3,3,3,3
53,f,3,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
52,f,2,2,2,2,3,4,2,4,2,2,2,3,1,2,2,4,3,2,2,4,4,5,1,1
54,f,4,2,2,2,5,3,4,4,3,4,4,2,4,2,2,3,4,3,4,4,2,4,4,3
22,f,3,3,4,3,4,4,4,3,2,3,3,2,3,3,3,2,4,4,3,3,2,3,3,2
51,f,2,3,3,4,4,3,4,4,3,4,4,3,2,2,3,3,4,4,3,4,3,3,3,2
67,f,3,2,2,2,4,3,4,4,2,4,3,3,3,2,2,3,3,2,4,4,2,4,3,2
31,f,2,2,2,4,2,2,4,4,2,4,4,2,4,4,2,2,4,4,4,4,2,3,4,3
52,f,3,4,3,3,3,2,4,2,3,3,2,2,3,4,4,3,3,2,3,3,3,4,3,3
49,f,3,3,3,4,2,3,3,3,3,3,3,3,2,3,4,3,2,3,4,3,3,2,3,4
62,f,3,3,3,2,4,3,3,3,4,4,4,2,2,2,3,2,4,3,4,4,2,3,3,3
38,f,4,4,2,2,4,2,5,4,1,3,4,3,4,4,3,2,4,3,4,4,1,4,4,2
45,f,4,5,4,2,4,5,5,5,3,3,4,5,3,4,3,2,2,4,4,4,3,3,4,4
67,f,4,3,2,3,3,3,4,4,4,3,2,2,3,3,2,2,3,3,3,4,4,3,2,2
47,f,2,4,3,4,4,4,2,4,3,4,3,2,3,3,3,3,3,3,3,3,3,4,3,1
41,f,3,4,4,2,4,4,3,4,2,3,4,3,4,4,4,3,5,4,4,4,2,3,4,3
58,f,3,2,3,2,3,3,3,3,3,2,2,3,3,3,2,4,4,3,3,3,4,2,3,3
43,f,2,3,2,3,4,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3
38,f,2,2,3,3,3,3,3,3,3,2,3,4,1,1,1,5,1,1,2,1,4,2,1,1
48,f,4,4,4,2,4,4,4,4,3,2,4,4,4,4,4,2,4,4,4,4,2,2,4,4
57,f,2,2,2,2,3,2,4,4,3,4,2,2,2,2,1,2,3,2,4,4,2,2,3,2
26,f,4,4,3,2,3,4,4,4,3,2,4,4,3,3,2,2,2,4,4,5,2,3,5,3
51,f,4,4,4,2,4,4,4,4,4,3,3,3,3,3,3,2,4,3,4,4,4,3,3,2
49,f,3,3,3,3,3,4,3,2,3,3,3,3,3,3,3,3,4,3,2,2,3,3,4,3
48,f,3,3,2,2,3,2,4,3,2,3,2,2,3,3,3,2,2,2,4,3,2,3,2,2
50,f,3,4,3,2,4,3,4,3,3,3,4,3,2,2,2,3,4,3,3,3,3,3,3,2
42,f,3,2,3,2,3,3,4,4,3,4,3,2,3,2,2,2,4,3,4,4,2,4,4,3
41,f,2,3,3,3,5,3,3,3,3,4,4,3,2,3,3,2,5,3,3,3,3,3,4,3
65,f,4,4,4,3,3,3,4,4,2,4,4,3,3,4,3,2,3,3,4,4,2,4,4,2
64,f,3,4,4,2,3,3,4,4,3,4,3,1,2,2,2,2,3,2,4,4,3,4,2,1
35,f,4,4,4,3,3,2,3,3,3,4,2,1,2,2,1,4,2,1,1,1,4,4,1,1
38,f,4,4,4,3,3,3,3,4,2,3,2,3,4,4,4,3,3,3,4,4,2,3,3,3
42,f,4,3,4,1,4,4,4,4,2,3,4,4,4,4,4,2,4,4,4,4,2,2,4,4
38,m,3,3,3,3,3,3,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3
53,f,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
45,f,4,4,4,2,4,3,4,4,3,3,4,3,4,4,4,2,4,3,4,4,3,3,4,3
38,m,4,4,4,2,4,4,3,4,2,2,4,3,5,4,5,4,4,4,4,5,5,4,4,3
47,m,2,4,2,4,2,2,2,4,3,4,2,2,2,4,2,4,2,2,2,4,3,4,2,2
52,m,4,3,3,1,4,4,4,4,3,3,4,2,4,3,3,1,4,3,4,4,3,4,4,2
49,m,3,3,3,4,2,2,2,2,3,4,3,2,2,2,2,3,4,3,3,4,2,4,3,2
50,f,2,2,2,2,4,4,4,4,2,3,5,4,2,2,1,2,4,4,4,4,2,4,4,4
53,m,2,2,3,4,3,3,4,3,3,2,4,3,3,2,3,3,3,3,3,4,3,4,4,3
50,m,4,4,4,3,4,4,3,4,2,4,4,3,4,4,4,4,4,4,3,2,3,3,4,4
51,m,3,4,2,3,4,3,3,3,3,2,3,3,3,4,3,3,4,3,3,3,3,4,3,3
25,m,2,2,3,3,3,3,4,3,3,3,3,3,2,2,3,3,3,3,4,3,3,3,3,3
52,m,2,4,2,3,3,4,4,2,2,5,1,2,2,2,2,1,1,3,4,2,5,5,2,2
60,m,2,2,2,2,4,2,4,4,4,5,1,1,2,2,2,4,2,2,2,2,4,5,2,1
62,m,2,3,2,2,4,4,4,3,3,4,4,3,2,3,3,2,3,3,2,4,3,3,3,2
37,f,4,3,4,4,3,3,2,4,3,5,2,2,4,3,4,4,3,3,3,4,3,4,2,2
43,m,2,3,3,4,2,2,3,4,4,4,4,2,2,3,3,3,3,2,4,4,4,4,3,2
26,f,4,4,4,2,4,3,3,4,2,4,2,2,4,4,3,2,3,3,2,2,3,4,3,2
52,m,1,3,1,2,3,3,4,4,3,4,4,1,3,3,2,2,2,2,4,4,3,4,4,2
41,m,3,4,2,3,3,2,4,4,2,4,2,3,3,4,3,3,3,3,3,4,2,3,3,2
60,m,4,5,4,1,5,4,4,4,2,4,3,4,4,4,4,2,2,4,4,4,2,4,4,3
30,m,4,4,4,4,3,2,2,4,4,4,4,2,4,4,4,4,2,2,2,4,4,4,4,2
57,m,3,2,3,4,4,3,2,3,4,4,3,2,2,2,2,4,4,3,3,3,4,4,2,2
61,m,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3
31,m,3,2,4,4,1,5,4,2,3,4,2,3,4,4,2,3,1,2,2,5,4,4,1,2
34,m,3,4,4,2,4,3,4,4,3,3,4,3,3,4,2,2,4,3,4,4,2,3,4,3
25,m,3,3,3,2,3,3,4,3,3,3,3,3,3,3,3,2,3,3,4,3,3,3,3,3
70,m,3,2,1,2,1,3,5,3,4,4,3,1,3,3,2,3,2,2,4,2,4,4,4,2
62,m,2,3,2,3,3,3,2,2,3,4,2,1,2,2,2,2,2,2,1,2,3,2,1,1
40,f,4,4,3,2,4,3,4,4,4,4,4,4,4,4,3,2,4,4,4,4,4,3,4,3
30,m,4,3,3,3,3,3,3,2,3,3,3,2,2,2,2,2,3,2,3,3,3,3,2,3
62,m,4,3,2,3,3,4,4,3,2,2,2,2,3,3,2,3,4,3,2,3,3,4,4,3
58,m,2,2,2,2,4,4,4,4,3,2,4,3,2,2,2,3,4,4,4,4,3,4,4,3
69,m,3,4,2,2,4,3,2,3,3,4,2,2,4,4,4,2,4,3,2,3,4,2,4,3
55,m,2,2,2,2,4,3,4,4,2,4,4,3,2,2,2,2,4,3,4,4,2,4,4,2
63,m,4,4,5,2,4,4,4,3,2,2,4,4,4,4,4,2,4,4,4,4,2,3,4,4
65,f,4,3,3,3,3,3,3,3,3,3,3,2,4,4,3,3,3,3,3,3,3,3,3,2
43,m,2,2,2,5,1,4,2,3,5,4,1,1,3,3,2,5,2,2,3,2,5,4,2,1
46,m,3,2,3,2,4,3,4,4,2,3,4,3,3,3,2,2,4,3,4,4,2,3,4,3
50,f,4,4,4,3,3,3,3,3,3,3,4,3,4,4,4,3,3,3,3,3,3,4,4,3
33,m,4,4,5,2,3,3,4,4,1,3,4,2,4,4,4,2,3,3,4,4,3,4,4,2
40,m,4,4,3,3,4,2,4,2,2,2,4,3,4,3,2,2,2,4,3,2,2,2,4,4
45,m,2,3,2,2,4,3,5,4,4,2,4,4,2,2,2,1,4,4,4,4,4,2,4,4
52,m,1,1,1,4,1,1,3,3,4,5,4,3,1,1,1,4,2,2,3,2,4,5,2,2
