age,sex,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q_Behavior
49,f,3,2,2,2,3,2,3,3,3,3,3,2,2,2,2,3,3,2,3,3,3,4,2,2,3
71,m,2,2,2,3,3,2,3,3,3,4,3,3,3,2,2,3,3,3,4,3,3,4,3,3,4
53,f,4,4,2,4,4,4,4,4,3,3,3,3,3,2,3,2,4,3,4,3,3,3,4,2,3
35,f,2,2,3,2,2,3,4,4,3,2,3,2,3,3,3,2,4,4,4,4,2,3,3,3,4
54,f,2,2,2,1,4,4,5,4,3,2,5,4,4,4,3,2,5,4,4,4,2,3,4,4,5
51,f,2,2,2,3,4,2,3,3,3,4,2,2,2,2,2,2,3,2,2,3,3,4,2,2,4
41,f,4,5,4,3,4,3,4,4,4,4,4,2,4,2,2,3,3,2,4,4,5,4,4,1,2
38,f,4,4,4,2,4,4,4,4,2,2,4,3,2,4,3,2,4,4,4,4,2,2,4,2,2
45,f,4,3,2,1,5,4,4,4,2,3,4,3,4,3,4,1,5,3,4,4,3,4,4,3,4
41,f,4,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
42,m,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,2,4,4,4,4
