age,sex,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
43,f,1,1,1,3,4,3,4,4,2,4,4,2,1,1,1,2,3,3,4,4,2,4,4,2
25,f,4,4,4,2,4,4,4,4,2,3,4,3,4,4,4,2,4,3,4,4,2,4,4,4
30,f,4,4,4,3,3,2,4,4,2,3,4,2,2,2,1,3,3,3,4,4,1,3,4,2
43,f,4,4,3,2,3,3,4,4,2,3,4,3,3,3,3,3,3,3,4,4,2,4,4,3
45,f,2,4,2,3,3,2,2,2,5,4,3,2,2,4,2,3,2,2,2,2,5,4,2,3
50,f,3,4,3,2,3,3,3,3,3,4,2,3,3,3,2,3,3,3,3,3,3,3,3,3
45,f,2,3,2,3,3,2,2,3,3,4,2,2,2,2,2,2,3,2,4,4,4,4,2,2
70,f,2,2,2,3,3,3,4,4,2,4,3,2,2,2,2,2,4,3,4,4,2,4,4,2
40,f,4,2,2,2,4,3,4,4,3,4,4,2,4,2,2,2,4,3,4,3,2,4,4,2
57,f,2,3,3,2,5,4,3,4,3,2,4,3,2,3,3,2,4,4,3,4,3,3,4,3
73,f,2,2,2,3,2,2,3,4,4,4,4,2,2,2,2,3,3,2,3,2,4,4,4,2
61,f,3,4,4,3,4,4,4,4,3,3,3,2,3,3,3,2,4,4,4,3,3,4,3,2
39,f,4,5,5,2,4,3,4,4,2,2,4,3,2,2,2,3,3,4,2,2,4,4,2,2
54,f,2,3,3,3,4,4,4,4,2,3,4,3,3,3,3,2,4,3,4,4,2,3,4,3
58,f,2,2,2,3,2,3,4,4,2,4,4,3,2,2,2,3,3,2,4,4,3,3,3,2
48,f,4,4,4,4,3,3,4,4,2,2,3,2,3,4,4,3,3,2,2,2,2,2,3,3
57,f,4,4,4,2,4,3,4,3,2,4,4,3,4,4,4,2,4,4,4,4,2,4,4,4
48,f,3,2,3,2,4,3,4,4,2,3,4,3,4,3,3,2,4,3,4,4,2,4,4,3
37,f,5,5,4,2,4,4,4,4,2,4,4,3,2,4,4,4,4,4,4,4,4,2,2,2
56,f,4,5,2,2,3,3,4,4,2,3,4,3,4,4,4,2,3,3,4,4,2,2,4,3
55,f,4,4,4,2,3,4,5,4,3,3,4,4,4,4,4,2,4,4,5,5,3,3,4,4
36,f,4,3,3,2,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,3,4,3
54,f,4,4,2,2,2,2,3,2,3,4,4,2,2,2,2,4,2,2,2,2,4,4,2,2
50,f,4,3,4,2,4,4,4,4,4,3,4,3,2,2,3,3,3,3,3,4,4,4,4,3
24,f,4,4,4,3,3,3,3,3,2,4,3,2,3,4,3,2,3,3,4,3,2,3,3,3
