age,sex,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
54,f,3,3,2,2,4,3,4,3,2,2,3,1,3,2,2,3,2,2,4,3,3,3,3,1
62,f,5,4,2,2,4,4,5,4,2,3,4,3,4,4,3,2,4,4,5,5,2,3,5,3
55,f,3,4,2,2,4,3,3,4,2,4,4,3,2,2,2,2,4,3,4,4,2,4,4,3
48,f,4,4,2,2,4,2,4,4,2,4,4,2,4,4,4,2,4,2,4,4,2,4,4,2
56,f,4,4,3,3,2,3,3,2,2,3,2,3,4,4,4,3,3,4,4,3,3,2,3,3
47,f,3,3,3,4,4,3,3,3,3,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3
52,f,4,4,4,2,4,4,4,4,3,4,4,2,4,4,4,2,4,4,4,4,2,4,4,2
29,f,1,4,3,2,3,4,4,4,3,3,4,3,3,3,3,4,2,2,3,2,3,4,2,2
43,f,5,5,4,4,2,1,4,4,3,4,2,1,5,5,4,4,2,2,4,4,3,4,2,2
44,f,2,2,2,4,4,3,4,4,3,3,3,3,2,2,2,2,4,3,3,4,2,3,4,2
50,f,4,4,2,3,3,3,3,4,2,3,3,3,4,4,2,3,3,3,3,4,3,3,4,4
60,f,3,4,4,2,4,4,4,4,3,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4
36,f,4,4,3,2,4,2,3,3,2,4,2,2,4,4,3,2,4,2,3,2,2,4,2,2
35,f,3,4,2,4,4,4,4,4,2,4,4,2,3,4,2,4,4,4,4,4,2,4,4,2
44,f,3,3,4,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,2,2,2,2,3,3
50,f,2,2,2,4,2,2,2,2,2,4,2,2,2,2,2,4,2,2,2,2,2,4,2,2
32,f,2,4,4,4,3,3,3,4,3,3,3,3,3,4,4,3,3,4,3,4,3,3,4,3
51,f,4,2,2,1,4,4,4,4,1,4,4,2,4,2,2,1,4,4,4,4,2,4,4,2
53,f,3,4,2,3,4,3,4,4,3,2,5,3,3,2,2,2,4,4,4,4,4,3,4,3
52,f,2,2,2,3,3,3,4,3,3,4,4,3,2,2,2,3,3,3,4,3,3,4,3,3
60,f,2,2,1,2,3,3,4,4,2,4,4,3,2,1,2,3,3,3,4,4,2,4,4,2
69,f,2,2,2,3,3,3,4,4,2,4,4,2,2,2,2,2,3,3,4,4,2,4,4,2
50,f,4,4,4,3,4,2,3,3,4,3,3,2,3,3,2,4,4,2,2,2,4,4,2,2
45,f,2,4,2,3,4,2,3,2,4,4,2,1,2,2,2,4,4,2,2,2,4,4,1,1
41,f,2,3,4,4,2,3,3,3,2,2,2,2,2,3,3,4,2,2,2,4,3,4,2,2
48,f,2,5,4,2,4,4,4,4,2,3,4,4,4,4,4,1,4,4,4,4,2,2,4,4
71,f,4,4,4,2,4,2,2,2,3,4,4,1,2,3,4,2,4,2,2,4,3,2,2,2
37,f,2,2,2,2,2,2,4,4,4,4,2,2,1,1,1,5,2,2,4,4,4,5,2,1
56,f,4,4,4,2,4,4,4,4,2,3,4,4,4,4,4,2,4,4,4,4,2,3,4,4
48,f,4,4,4,2,4,3,4,4,2,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4
45,f,4,4,4,2,4,4,4,4,2,2,4,4,4,4,4,2,4,4,4,4,2,2,4,4
45,f,4,4,4,2,4,3,4,4,4,2,4,3,4,4,3,2,4,2,4,4,4,2,4,2
44,f,2,4,2,2,5,4,4,4,2,3,4,5,4,2,4,1,5,4,4,3,2,4,5,5
41,f,3,3,3,4,3,3,4,2,3,4,3,2,3,3,3,4,3,2,4,2,3,4,3,2
46,f,4,3,2,1,5,2,4,5,1,5,5,4,2,2,4,1,4,4,5,5,1,5,4,2
23,f,4,4,4,3,4,3,3,3,3,4,3,3,4,3,3,2,3,3,4,3,4,4,3,3
46,f,3,4,2,2,4,3,3,4,4,4,3,3,2,2,2,3,3,3,3,2,4,4,2,2
53,f,4,4,3,2,4,4,4,4,3,3,4,4,4,4,3,2,4,3,4,4,3,3,4,4
35,f,3,4,3,3,4,2,3,3,3,3,2,2,3,3,2,3,3,2,3,3,3,4,2,1
56,m,4,5,4,1,5,4,4,4,1,3,5,4,4,5,5,1,4,4,4,4,2,4,4,5
37,m,4,4,3,4,3,3,3,3,2,3,2,2,4,4,4,3,3,3,3,3,2,3,2,2
57,m,3,2,2,2,4,3,5,3,2,4,4,3,3,2,2,3,4,3,4,4,2,4,4,3
57,m,2,3,2,4,3,2,4,4,3,4,4,3,2,3,2,3,3,2,4,4,2,4,4,3
57,m,2,2,2,2,4,4,4,4,2,4,4,2,2,2,2,2,4,4,4,4,3,4,3,3
49,m,1,1,1,5,1,1,5,5,5,5,1,1,1,1,1,1,1,1,1,5,5,5,1,1
50,m,3,3,3,3,3,2,3,3,2,4,2,2,3,2,2,2,3,2,4,2,2,4,3,3
31,f,4,4,4,2,4,4,4,3,2,2,4,4,4,4,3,2,4,4,4,4,3,2,4,3
54,f,3,2,2,3,3,3,4,4,2,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3
49,m,2,2,2,2,4,4,4,4,3,3,4,3,2,2,2,2,4,3,4,4,3,4,4,3
41,m,4,4,5,2,4,2,2,5,2,4,2,2,2,2,3,2,2,1,1,2,4,4,3,1
72,m,4,4,4,4,4,4,4,4,3,3,4,4,3,3,4,3,4,4,4,3,4,3,4,4
52,m,4,4,4,2,4,4,4,4,4,4,4,3,4,4,4,2,4,3,4,4,4,4,4,2
33,m,3,3,3,3,3,4,3,3,2,2,2,2,3,2,2,2,2,2,3,3,3,3,2,2
73,m,2,3,3,4,4,3,3,2,2,3,3,2,3,4,4,2,3,3,3,2,3,3,3,3
48,m,3,4,3,3,4,3,4,2,2,3,4,4,3,3,3,3,4,4,4,3,2,3,4,3
59,m,1,1,1,1,4,4,4,4,3,4,2,3,2,2,2,4,4,3,4,4,3,4,2,3
23,m,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4
42,m,2,4,2,2,2,3,3,4,3,4,1,2,2,4,3,2,2,3,2,2,3,2,2,1
44,m,1,2,2,4,2,2,3,2,4,4,2,1,2,2,2,4,2,2,3,3,4,4,2,2
51,m,2,4,3,4,3,2,2,2,4,4,2,2,2,3,3,4,4,2,3,2,4,4,2,2
52,m,3,3,4,3,3,3,4,4,2,3,3,2,3,3,4,3,3,3,4,3,2,3,3,3
46,f,5,5,5,4,2,2,2,4,4,3,1,1,4,4,4,5,2,2,3,4,3,3,1,1
60,m,4,4,4,2,4,4,4,4,2,2,4,4,4,4,4,2,4,4,4,4,2,4,4,4
65,m,1,1,1,2,4,4,4,4,2,5,4,2,1,1,1,5,1,1,1,1,5,5,1,1
65,m,2,2,2,3,4,3,4,4,4,3,3,3,2,2,2,2,4,3,4,3,4,4,3,3
43,m,2,4,2,2,4,2,5,4,2,4,1,3,2,4,2,4,2,2,4,4,2,4,2,2
52,m,4,4,3,2,4,4,4,4,3,3,4,3,4,4,3,2,4,4,4,4,3,3,3,3
40,m,2,3,3,2,3,3,3,3,5,3,3,2,4,4,4,4,4,3,4,4,2,2,4,4
63,m,3,4,3,2,4,3,4,4,2,4,4,3,3,4,3,2,4,3,4,3,2,3,4,3
50,m,2,3,3,2,4,3,4,4,3,4,4,2,2,2,3,2,4,2,4,4,2,4,4,2
48,f,4,2,2,2,4,4,4,5,2,3,4,4,4,2,2,2,4,4,4,4,2,3,4,4
52,m,1,1,1,2,3,2,3,3,3,4,3,3,1,1,1,1,1,2,3,3,3,4,3,3
55,f,4,4,3,2,4,3,4,5,3,2,4,3,4,4,3,2,3,2,4,5,2,4,4,3
64,m,4,4,4,2,4,4,4,4,2,3,4,4,4,4,4,2,2,4,4,4,2,3,4,4
50,m,3,3,3,1,3,3,5,5,3,5,5,3,3,3,3,1,3,3,5,5,3,5,5,3
61,m,4,4,4,3,4,3,3,2,3,3,3,3,4,4,4,3,3,3,3,2,3,3,3,3
53,m,4,4,4,2,4,3,4,4,3,3,4,3,4,4,4,2,4,3,4,2,4,3,3,2
45,m,4,4,2,2,5,4,4,4,2,3,4,3,4,4,3,2,5,3,4,4,2,3,4,4
32,m,4,4,4,1,4,4,4,4,5,3,3,3,4,4,4,1,4,4,4,4,5,3,4,3
57,f,4,4,4,2,4,3,4,3,3,4,4,3,4,4,4,2,4,3,4,3,3,4,4,3
50,m,2,1,1,4,2,2,3,3,4,4,2,2,1,2,2,4,2,2,3,3,4,4,2,2
53,m,4,4,4,3,2,2,3,2,3,3,2,1,4,4,4,3,2,2,2,2,2,3,2,2
42,m,4,4,4,2,3,3,3,4,3,4,2,3,4,4,4,3,4,4,3,3,3,4,3,3
